BDSI,https://www.nasdaq.com/press-release/biodelivery-sciences-announces-launch-and-availability-of-belbuca-in-canada-20180130-00493,1/30/2018,8:00,1
BTHE,https://www.nasdaq.com/press-release/boston-therapeutics-engages-medical-and-fda-experts-launching-new-strategic-initiatives-20180329-00975,3/29/2018,13:11,1
CNBX,https://www.nasdaq.com/press-release/cannabics-pharmaceuticals-receives-positive-results-from-preclinical-study-on-antitumor-effects-of-20180329-00422,3/28/2018,8:00,1
COCP,https://www.nasdaq.com/press-release/cocrystal-pharma-receives-fda-clearance-to-initiate-phase-2a-clinical-study-evaluating-cc31244-for-20180403-00502,4/3/2018,8:00,1
TARO,https://www.nasdaq.com/press-release/crescita-announces-launch-of-pliaglis-in-us-20180329-00359,3/29/2018,7:30,1
CBAY,https://www.nasdaq.com/press-release/cymabay-announces-positive-new-12week-and-26week-results-from-its-ongoing-phase-2-study-of-20180411-00338,4/11/2018,7:47,1
ELTP,https://www.nasdaq.com/press-release/elite-pharmaceuticals-reports-positive-topline-results-from-sequestox-pilot-study-20180130-00624,1/30/2018,8:35,1
AMPE,https://www.nasdaq.com/press-release/evidence-for-delay-of-total-knee-replacement-tkr-for-patients-with-severe-osteoarthritis-of-the-20180326-00482,3/26/2018,8:30,1
EOLS,https://www.nasdaq.com/press-release/evolus-phase-iii-european--canadian-headtohead-trial-of-prabotulinumtoxina-compared-to-botox-meets-20180405-00323,4/5/2018,7:30,1
EYEN,https://www.businesswire.com/news/home/20171030005540/en/Eyenovia-Publication-EYE-102-Phase-II-Results,10/30/2017,8:00,1
FLKS,https://www.nasdaq.com/press-release/flex-pharma-reports-positive-topline-data-from-exploratory-phase-2-trial-of-flx787-in-multiple-20180326-00276,3/26/2018,7:00,1
IPXL,https://www.nasdaq.com/press-release/impax-launches-a-generic-version-of-estrace-cream-estradiol-vaginal-cream-usp-001-20180406-00230,4/6/2018,7:33,1
JAZZ,https://www.nasdaq.com/press-release/jazz-pharmaceuticals-announces-fda-acceptance-of-nda-for-solriamfetol-jzp110-for-excessive-20180302-00404,3/2/2018,8:30,1
KMPH,https://www.nasdaq.com/press-release/kempharm-announces-positive-topline-results-from-kp415-pharmacokinetic-study-in-children-and-20180320-00377,3/20/2018,7:30,1
MLNT,https://www.nasdaq.com/press-release/melinta-therapeutics-publishes-complete-results-from-phase-3-tango-i-study-of-vabomere-meropenem-20180227-01560,2/27/2018,16:05,1
NEOS,https://www.nasdaq.com/press-release/neos-therapeutics-launches-adzenys-er-amphetamine-extendedrelease-oral-suspension-in-us-for-the-20180226-00544,2/26/2018,8:00,1
CPIX,https://www.nasdaq.com/press-release/newly-published-data-demonstrates-amifostine-reduces-gastrointestinal-toxicity-for-multiple-myelom-20180130-00798,1/30/2018,9:35,1
OBSV,https://www.nasdaq.com/press-release/obseva-sa-reports-positive-topline-results-from-implant2-phase-3-clinical-trial-of-nolasiban-in-ivf-20180226-00399,2/26/2018,7:01,1
OPNT,https://ir.opiant.com/news-releases/news-release-details/opiant-pharmaceuticals-inc-announces-phase-i-data-opnt002,7/19/2017,7:00,1
PCRX,https://www.nasdaq.com/press-release/pacira-announces-fda-approval-of-supplemental-new-drug-application-for-exparel--as-a-nerve-block-t-20180406-00739,4/6/2018,17:36,1
PTX,https://www.nasdaq.com/press-release/pernix-therapeutics-announces-return-to-market-of-zohydro-er-with-beadtek-20-mg-20180327-00465,3/27/2018,8:00,1
PRGO,https://www.nasdaq.com/press-release/perrigo-announces-final-fda-approval-and-planned-launch-for-the-store-brand-otc-equivalent-of-20180307-00667,3/7/2018,8:49,1
RTTR,https://www.nasdaq.com/press-release/ritter-pharmaceuticals-reports-microbiome-data-from-phase-2b-study-of-rpg28-promotes-beneficial-20180312-00193,3/12/2018,6:00,1
ENDP,https://www.nasdaq.com/press-release/semaglutide-injection-phase-2-data-presented-at-endo-demonstrated-significant-weight-loss-in-adult-20180319-00383,3/19/2018,8:00,1
SNOA,https://www.nasdaq.com/press-release/sonoma-pharmaceuticals-announces-fda-approval-for-antimicrobial-posttherapy-gel-20180405-00295,4/5/2018,7:05,1
TLGT,https://www.nasdaq.com/press-release/teligent-inc-announces-fda-approval-of-ciclopirox-shampoo-1-20180406-00474,4/6/2018,10:32,1
TXMD,https://www.nasdaq.com/press-release/therapeuticsmd-announces-fda-acceptance-of-new-drug-application-nda-and-prescription-drug-user-fee-20180308-01419,3/8/2018,16:15,1
TTNP,http://www.marketwired.com/press-release/titan-pharmaceuticals-announces-positive-results-six-month-open-label-safety-retreatment-otcbb-ttnp-1617634.htm,2/9/2012,7:00,1
VRNA,https://www.nasdaq.com/press-release/verona-pharma-reports-positive-topline-data-from-phase-2b-clinical-trial-of-rpl554-for-maintenance-20180326-00046,3/26/2018,2:00,1
VRX,https://www.prnewswire.com/news-releases/valeant-pharmaceuticals-announces-phase-3-results-for-psoriasis-treatment-idp-118-300375438.html,12/8/2016,11:55,1
HCM,https://www.chi-med.com/positive-ph3-fruquintinib-crc-fresco/,3/3/2017,4:23,1
AKRX,http://investors.akorn.com/phoenix.zhtml?c=78132&p=irol-newsArticle&ID=2250398,2/28/2017,17:30,1
SUPN,http://ir.supernus.com/releasedetail.cfm?releaseid=992959,10/11/2016,7:45,1
HZNP,http://ir.horizon-pharma.com/news-releases/news-release-details/horizon-pharma-plc-announces-fda-approval-expand-indication,12/27/2017,8:00,1
AERI,http://investors.aeriepharma.com/news-releases/news-release-details/aerie-pharmaceuticals-reports-positive-rhopressatm-phase-3,9/16/2015,16:01,1
CORT,http://www.corcept.com/news_events/view/pr_1478031961.html,12/10/2016,8:30,1
INVA,https://www.gsk.com/en-gb/media/press-releases/gsk-and-innoviva-report-positive-headline-results-from-impact-study-showing-single-inhaler-triple-therapy-trelegy-ellipta-reduced-copd-exacerbations/,8/20/2017,2:17,1
ITCI,http://ir.intracellulartherapies.com/news-releases/news-release-details/intra-cellular-therapies-announces-positive-top-line-results,9/16/2015,6:00,1
ECYT,https://www.xconomy.com/indiana/2017/10/02/endocyte-adds-phase-3-ready-prostate-cancer-drug-with-abx-deal/,10/2/2017,11:23,1
CORI,http://ir.coriumgroup.com/news-releases/news-release-details/corium-presents-full-clinical-results-phase-1-pharmacokinetic,7/27/2016,16:01,1
DRRX,https://www.prnewswire.com/news-releases/durect-announces-top-line-results-from-the-persist-phase-3-trial-of-posimir-saber-bupivacaine-did-not-meet-primary-efficacy-endpoint-300540277.html,10/19/2017,17:57,0
NBRV,http://investors.nabriva.com/news-releases/news-release-details/nabriva-therapeutics-announces-positive-topline-results-global,9/18/2017,7:00,1
ACER,https://acertx.com/acer-therapeutics-reports-positive-results-from-pivotal-clinical-trial-of-edsivo-celiprolol-for-treatment-of-vascular-ehlers-danlos-syndrome/,9/25/2017,8:30,1
ACRX,http://ir.acelrx.com/news-releases/news-release-details/acelrx-reports-positive-results-arx-04-sufentanil-sublingual,9/15/2016,6:30,1
PTIE,http://investor.paintrials.com/news-releases/news-release-details/pain-therapeutics-announces-successful-phase-i-clinical-study,10/24/2017,7:30,1
SCYX,http://ir.scynexis.com/news-releases/news-release-details/scynexis-announces-complete-results-two-phase-2-studies-oral-scy,10/5/2016,16:15,1
AKTX,https://www.nasdaq.com/press-release/akari-therapeutics-announces-completion-of-phase-ii-cobalt-trial-of-coversin-in-patients-with-pnh-20180206-00397,2/6/2018,7:00,1
CTXR,https://www.prnewswire.com/news-releases/citius-pharmaceuticals-announces-results-from-phase-2a-trial-of-hydrocortisone-and-lidocaine-combination-cream-in-patients-with-grade-i-and-ii-hemorrhoids-300212340.html,2/1/2016,7:00,1
EGLT,https://www.prnewswire.com/news-releases/egalet-announces-positive-top-line-results-from-phase-3-safety-study-evaluating-safety-of-egalet-002-300558023.html,11/16/2017,14:50,1
KTOV,https://www.prnewswire.com/news-releases/kitov-pharmaceuticals-announces-phase-iiiiv-clinical-trial-for-kit-302-successfully-meets-primary-endpoint-and-also-demonstrates-drug-candidate-improves-renal-function-653388493.html,10/26/2017,14:00,1
IPCI,https://www.intellipharmaceutics.com/news-media/press-releases/detail/89/intellipharmaceutics-reports-positive-results-from-a-series,10/22/2014,17:15,1
EYEG,http://www.eyegatepharma.com/press-release/eyegate-announces-top-line-results-for-phase-2b-trial-of-egp-437-in-cataract-surgery/,2/5/2018,8:30,0
PETX,https://www.prnewswire.com/news-releases/aratana-therapeutics-announces-study-results-for-at-016-300572214.html,12/15/2017,16:15,0
MRNS,http://ir.marinuspharma.com/news-releases/news-release-details/marinus-announces-successful-clinical-trial-results-and-0,9/11/2017,7:30,1
OCUL,https://www.businesswire.com/news/home/20161114005450/en/Ocular-Therapeutix%E2%84%A2-Announces-Successful-Topline-Results-Inflammation,11/14/2016,7:00,1
FOMX,https://www.prnewswire.com/news-releases/foamix-reports-topline-results-from-phase-3-trials-for-fmx101-in-patients-with-acne-300429552.html,3/27/2017,7:30,0
ONTY,http://ir.cascadianrx.com/releasedetail.cfm?releaseid=727708,12/19/2012,6:30,0
VSAR,http://ir.versartis.com/news-releases/news-release-details/versartis-announces-phase-3-velocity-trial-somavaratan-pediatric,9/21/2017,16:30,1